timesteps,mean_return,std_return
12500,250.20513333333335,137.20693171110662
37500,336.41240000000005,144.322184421441
62500,377.00626666666653,132.9678738358649
87500,347.47013333333337,157.93394113652045
112500,366.5601333333333,144.3182894358784
137500,337.7642666666667,142.3000736803558
162500,332.3356666666667,145.60424427853334
187500,362.1796,148.60074383869775
212500,391.93393333333336,137.58296114627817
237500,373.54966666666667,151.27245514235437
262500,385.8553333333333,130.18258912192607
287500,354.7359333333333,140.15722764051583
312500,344.3647333333333,139.12809740634407
337500,369.6468000000001,145.63611006324837
362500,341.2272666666666,156.17798065653534
387500,379.2128,150.8569871044929
412500,342.0786,157.0782791899791
437500,348.4078666666666,148.289428831223
462500,371.2815333333334,143.9662814647324
487500,375.1931333333333,145.20573802428214
512500,377.62486666666666,147.37391586405306
537500,417.2275333333333,114.07636984067496
562500,411.57933333333335,119.68124718923394
587500,396.84979999999996,132.20011637710306
612500,399.11373333333336,122.58840066337703
637500,376.9117333333334,126.97089730690905
662500,370.55846666666673,137.42845580723667
687500,373.2798,138.2255068777797
712500,401.06419999999997,108.1005662683402
737500,389.3136,136.39208379878403
762500,359.73886666666664,138.39330983566532
787500,365.3656666666668,142.72841822899218
812500,377.1249333333334,133.16737508316783
837500,405.8944666666667,119.2434427388849
862500,419.39706666666666,118.16482912041502
887500,410.44606666666664,117.15355897329741
912500,378.20659999999987,143.90217242023155
937500,394.95273333333336,124.86810811869424
962500,359.43559999999997,140.31442669444522
987500,358.663,143.64045113430674
