timesteps,mean_return,std_return
12500,219.87460000000002,124.57500797578398
37500,368.1742666666666,146.39739603718783
62500,355.2804666666667,148.7972366683979
87500,379.0031333333333,130.5686972975199
112500,399.6010666666666,128.77354628044978
137500,384.6314,127.75594512512258
162500,351.3574666666667,140.93698754449736
187500,369.94039999999995,144.14275006065813
212500,386.5878,136.65981057454667
237500,357.4924,144.1603482507568
262500,371.2146,130.02463618430494
287500,427.0319333333333,96.41468310856884
312500,346.43533333333335,133.76494700009596
337500,362.6595333333334,127.89019792462527
362500,385.7106666666666,119.85782480930662
387500,354.8865333333334,144.10967707132
412500,400.1131333333334,129.97878387564552
437500,425.76759999999996,105.588376432003
462500,337.9070666666667,157.59658044855266
487500,361.9560666666667,132.85509742074169
512500,382.5862,139.41285353367545
537500,350.9232666666667,146.06607147460664
562500,379.3179333333334,130.34552543600248
587500,382.49846666666673,150.31231996653634
612500,323.7649333333333,165.84930313374528
637500,303.1528,161.88920952037583
662500,383.0446,144.21677619444247
687500,354.6134666666666,138.22120202665636
712500,378.5545333333334,137.78203019068414
737500,328.5941333333334,161.10236186351722
762500,332.87486666666666,138.24236456477897
787500,339.19939999999997,144.27872685127247
812500,404.12586666666664,125.1617623836857
837500,348.79566666666665,142.3846579533799
862500,351.07546666666667,142.1200530966921
887500,348.63620000000003,154.32865468221902
912500,365.5995333333333,154.7844182014636
937500,419.87246666666664,111.26222910199691
962500,330.8559333333333,139.01571354492208
987500,307.7178666666666,139.0981526171492
