timesteps,return
0,21.433333333333334
250,9.433333333333334
500,9.5
750,9.2
1000,55.86666666666667
1250,9.433333333333334
1500,9.3
1750,20.666666666666668
2000,26.4
2250,67.73333333333333
2500,85.73333333333333
2750,159.06666666666666
3000,133.0
3250,46.2
3500,30.766666666666666
3750,71.53333333333333
4000,181.56666666666666
4250,120.5
4500,140.63333333333333
4750,136.6
5000,53.46666666666667
5250,191.13333333333333
5500,351.8
5750,398.3666666666667
6000,181.86666666666667
6250,334.2
6500,464.8
6750,268.3
7000,275.53333333333336
7250,172.06666666666666
7500,16.1
7750,242.56666666666666
8000,232.03333333333333
8250,402.1666666666667
8500,281.3
8750,494.53333333333336
9000,204.13333333333333
9250,153.83333333333334
9500,131.33333333333334
9750,402.0
10000,500.0
10250,500.0
10500,205.46666666666667
10750,89.2
11000,197.06666666666666
11250,189.1
11500,126.36666666666666
11750,370.2
12000,190.13333333333333
12250,233.23333333333332
12500,200.13333333333333
12750,228.3
13000,283.53333333333336
13250,161.83333333333334
13500,301.4
13750,323.26666666666665
14000,500.0
14250,500.0
14500,415.9
14750,500.0
15000,357.06666666666666
15250,251.8
15500,151.76666666666668
15750,336.0
16000,362.0
16250,500.0
16500,500.0
16750,500.0
17000,500.0
17250,500.0
17500,500.0
17750,500.0
18000,500.0
18250,411.56666666666666
18500,500.0
18750,499.3
19000,403.06666666666666
19250,266.6
19500,372.53333333333336
19750,387.9
20000,388.43333333333334
20250,398.7
20500,349.93333333333334
20750,500.0
21000,500.0
21250,500.0
21500,500.0
21750,341.2
22000,500.0
22250,500.0
22500,500.0
22750,500.0
23000,500.0
23250,383.6333333333333
23500,500.0
23750,410.73333333333335
24000,500.0
24250,500.0
24500,483.8
24750,500.0
25000,500.0
25250,500.0
25500,326.1
25750,500.0
26000,110.26666666666667
26250,500.0
26500,500.0
26750,500.0
27000,492.8666666666667
27250,155.13333333333333
27500,146.3
27750,116.96666666666667
28000,500.0
28250,500.0
28500,500.0
28750,210.5
29000,500.0
29250,324.26666666666665
29500,500.0
29750,500.0
30000,500.0
30250,500.0
30500,500.0
30750,263.3
31000,287.93333333333334
31250,500.0
31500,500.0
31750,302.6333333333333
32000,500.0
32250,500.0
32500,278.46666666666664
32750,500.0
33000,499.8333333333333
33250,500.0
33500,326.2
33750,155.73333333333332
34000,200.7
34250,265.53333333333336
34500,500.0
34750,500.0
35000,154.7
35250,263.8333333333333
35500,500.0
35750,500.0
36000,500.0
36250,9.4
36500,500.0
36750,275.1333333333333
37000,500.0
37250,500.0
37500,500.0
37750,500.0
38000,500.0
38250,500.0
38500,500.0
38750,292.0
39000,362.1666666666667
39250,497.8333333333333
39500,141.56666666666666
39750,459.23333333333335
40000,500.0
40250,500.0
40500,194.23333333333332
40750,159.16666666666666
41000,137.03333333333333
41250,116.93333333333334
41500,137.03333333333333
41750,131.66666666666666
42000,141.5
42250,498.3666666666667
42500,500.0
42750,413.7
43000,410.9
43250,488.6
43500,350.96666666666664
43750,493.53333333333336
44000,500.0
44250,393.53333333333336
44500,500.0
44750,500.0
45000,191.06666666666666
45250,255.6
45500,341.8
45750,500.0
46000,500.0
46250,500.0
46500,500.0
46750,500.0
47000,500.0
47250,500.0
47500,500.0
47750,500.0
48000,500.0
48250,500.0
48500,500.0
48750,500.0
49000,500.0
49250,227.36666666666667
49500,233.86666666666667
49750,246.23333333333332
50000,386.9
50250,500.0
50500,500.0
50750,500.0
51000,500.0
51250,500.0
51500,500.0
51750,103.13333333333334
52000,102.13333333333334
52250,103.06666666666666
52500,95.26666666666667
52750,500.0
53000,500.0
53250,500.0
53500,500.0
53750,500.0
54000,500.0
54250,10.066666666666666
54500,500.0
54750,500.0
55000,500.0
55250,500.0
55500,500.0
55750,500.0
56000,496.26666666666665
56250,500.0
56500,500.0
56750,500.0
57000,500.0
57250,500.0
57500,307.4
57750,500.0
58000,59.13333333333333
58250,500.0
58500,500.0
58750,500.0
59000,500.0
59250,258.8333333333333
59500,12.0
59750,500.0
60000,500.0
60250,500.0
60500,500.0
60750,500.0
61000,500.0
61250,147.36666666666667
61500,500.0
61750,500.0
62000,500.0
62250,500.0
62500,143.86666666666667
62750,500.0
63000,483.9
63250,500.0
63500,500.0
63750,500.0
64000,168.46666666666667
64250,500.0
64500,500.0
64750,419.5
65000,117.33333333333333
65250,500.0
65500,500.0
65750,500.0
66000,500.0
66250,500.0
66500,500.0
66750,500.0
67000,500.0
67250,500.0
67500,268.53333333333336
67750,191.23333333333332
68000,500.0
68250,500.0
68500,184.4
68750,167.53333333333333
69000,161.93333333333334
69250,172.06666666666666
69500,291.1333333333333
69750,500.0
70000,500.0
70250,500.0
70500,500.0
70750,500.0
71000,500.0
71250,500.0
71500,500.0
71750,500.0
72000,500.0
72250,500.0
72500,500.0
72750,500.0
73000,500.0
73250,500.0
73500,500.0
73750,500.0
74000,185.2
74250,211.0
74500,500.0
74750,500.0
75000,500.0
75250,500.0
75500,500.0
75750,500.0
76000,500.0
76250,500.0
76500,500.0
76750,500.0
77000,451.26666666666665
77250,212.23333333333332
77500,500.0
77750,500.0
78000,500.0
78250,500.0
78500,500.0
78750,500.0
79000,500.0
79250,500.0
79500,500.0
79750,156.46666666666667
80000,183.0
80250,176.7
80500,500.0
80750,178.6
81000,201.7
81250,485.3
81500,345.3333333333333
81750,167.2
82000,198.13333333333333
82250,153.93333333333334
82500,135.66666666666666
82750,180.23333333333332
83000,173.63333333333333
83250,165.23333333333332
83500,208.06666666666666
83750,151.23333333333332
84000,127.1
84250,247.7
84500,134.66666666666666
84750,191.3
85000,298.0
85250,500.0
85500,500.0
85750,205.63333333333333
86000,500.0
86250,500.0
86500,500.0
86750,500.0
87000,178.23333333333332
87250,500.0
87500,500.0
87750,233.63333333333333
88000,269.6
88250,273.76666666666665
88500,500.0
88750,280.4
89000,416.76666666666665
89250,500.0
89500,500.0
89750,226.06666666666666
90000,123.03333333333333
90250,500.0
90500,262.6333333333333
90750,291.26666666666665
91000,500.0
91250,500.0
91500,500.0
91750,23.966666666666665
92000,500.0
92250,500.0
92500,500.0
92750,500.0
93000,500.0
93250,9.7
93500,500.0
93750,500.0
94000,226.86666666666667
94250,224.33333333333334
94500,197.9
94750,195.2
95000,159.3
95250,188.9
95500,447.6666666666667
95750,204.9
96000,201.2
96250,433.2
96500,500.0
96750,416.0
97000,500.0
97250,500.0
97500,124.23333333333333
97750,500.0
98000,134.3
98250,500.0
98500,119.26666666666667
98750,500.0
99000,500.0
99250,122.53333333333333
99500,500.0
99750,228.2
100000,500.0
100250,500.0
100500,500.0
100750,500.0
101000,132.66666666666666
101250,140.23333333333332
101500,166.26666666666668
101750,165.23333333333332
102000,179.36666666666667
102250,500.0
102500,500.0
102750,500.0
103000,500.0
103250,500.0
103500,500.0
103750,500.0
104000,500.0
104250,500.0
104500,500.0
104750,98.13333333333334
105000,183.66666666666666
105250,236.3
105500,249.53333333333333
105750,202.73333333333332
106000,184.23333333333332
106250,183.06666666666666
106500,165.43333333333334
106750,149.2
107000,423.53333333333336
107250,273.76666666666665
107500,82.76666666666667
107750,87.73333333333333
108000,117.73333333333333
108250,165.4
108500,500.0
108750,164.46666666666667
109000,63.233333333333334
109250,500.0
109500,71.9
109750,72.0
110000,69.0
110250,56.1
110500,61.0
110750,58.6
111000,84.5
111250,390.2
111500,500.0
111750,351.8666666666667
112000,500.0
112250,169.26666666666668
112500,179.13333333333333
112750,228.4
113000,328.53333333333336
113250,500.0
113500,500.0
113750,446.26666666666665
114000,500.0
114250,500.0
114500,500.0
114750,486.03333333333336
115000,500.0
115250,277.2
115500,444.3666666666667
115750,500.0
116000,268.46666666666664
116250,233.86666666666667
116500,242.23333333333332
116750,500.0
117000,253.23333333333332
117250,249.43333333333334
117500,245.06666666666666
117750,251.7
118000,220.26666666666668
118250,102.6
118500,184.96666666666667
118750,114.5
119000,134.43333333333334
119250,114.66666666666667
119500,500.0
119750,500.0
120000,500.0
120250,430.06666666666666
120500,485.8
120750,500.0
121000,337.03333333333336
121250,174.06666666666666
121500,134.56666666666666
121750,376.73333333333335
122000,454.3
122250,360.43333333333334
122500,187.46666666666667
122750,228.0
123000,178.7
123250,146.76666666666668
123500,151.73333333333332
123750,84.8
124000,172.46666666666667
124250,190.63333333333333
124500,363.5
124750,500.0
125000,500.0
125250,500.0
125500,500.0
125750,500.0
126000,500.0
126250,500.0
126500,96.86666666666666
126750,110.53333333333333
127000,98.03333333333333
127250,94.56666666666666
127500,500.0
127750,86.46666666666667
128000,79.73333333333333
128250,116.0
128500,500.0
128750,500.0
129000,71.46666666666667
129250,277.73333333333335
129500,97.53333333333333
