timesteps,return
0,9.4
250,9.633333333333333
500,20.033333333333335
750,14.966666666666667
1000,42.56666666666667
1250,40.4
1500,93.5
1750,25.066666666666666
2000,52.46666666666667
2250,42.6
2500,39.166666666666664
2750,55.3
3000,81.96666666666667
3250,71.3
3500,83.1
3750,84.33333333333333
4000,72.0
4250,42.3
4500,23.966666666666665
4750,71.9
5000,76.4
5250,84.36666666666666
5500,62.9
5750,89.9
6000,67.0
6250,126.06666666666666
6500,119.96666666666667
6750,142.93333333333334
7000,106.26666666666667
7250,107.2
7500,222.66666666666666
7750,102.46666666666667
8000,319.56666666666666
8250,171.93333333333334
8500,135.13333333333333
8750,351.93333333333334
9000,480.53333333333336
9250,112.76666666666667
9500,93.83333333333333
9750,97.5
10000,112.56666666666666
10250,119.76666666666667
10500,123.13333333333334
10750,179.0
11000,250.46666666666667
11250,120.56666666666666
11500,467.6333333333333
11750,197.0
12000,195.26666666666668
12250,264.9
12500,224.5
12750,144.66666666666666
13000,487.93333333333334
13250,322.56666666666666
13500,450.1666666666667
13750,500.0
14000,495.76666666666665
14250,114.73333333333333
14500,21.6
14750,93.1
15000,96.23333333333333
15250,80.06666666666666
15500,78.26666666666667
15750,168.56666666666666
16000,99.16666666666667
16250,93.6
16500,82.8
16750,500.0
17000,94.36666666666666
17250,500.0
17500,500.0
17750,115.5
18000,115.6
18250,97.8
18500,156.73333333333332
18750,157.4
19000,168.03333333333333
19250,500.0
19500,147.96666666666667
19750,118.06666666666666
20000,500.0
20250,500.0
20500,500.0
20750,500.0
21000,500.0
21250,500.0
21500,102.73333333333333
21750,500.0
22000,500.0
22250,500.0
22500,500.0
22750,500.0
23000,300.8666666666667
23250,500.0
23500,500.0
23750,500.0
24000,500.0
24250,500.0
24500,500.0
24750,500.0
25000,500.0
25250,207.3
25500,21.133333333333333
25750,121.43333333333334
26000,500.0
26250,500.0
26500,500.0
26750,500.0
27000,500.0
27250,13.133333333333333
27500,14.1
27750,500.0
28000,500.0
28250,500.0
28500,500.0
28750,91.66666666666667
29000,144.83333333333334
29250,500.0
29500,500.0
29750,500.0
30000,500.0
30250,500.0
30500,99.73333333333333
30750,500.0
31000,500.0
31250,500.0
31500,500.0
31750,500.0
32000,179.7
32250,56.233333333333334
32500,500.0
32750,177.06666666666666
33000,500.0
33250,500.0
33500,388.06666666666666
33750,338.8
34000,500.0
34250,90.7
34500,500.0
34750,500.0
35000,500.0
35250,305.7
35500,500.0
35750,84.86666666666666
36000,39.9
36250,80.56666666666666
36500,120.8
36750,500.0
37000,500.0
37250,500.0
37500,500.0
37750,500.0
38000,500.0
38250,500.0
38500,143.7
38750,500.0
39000,500.0
39250,500.0
39500,500.0
39750,500.0
40000,128.5
40250,468.5
40500,500.0
40750,468.53333333333336
41000,500.0
41250,500.0
41500,500.0
41750,500.0
42000,500.0
42250,500.0
42500,500.0
42750,500.0
43000,500.0
43250,500.0
43500,9.333333333333334
43750,500.0
44000,500.0
44250,500.0
44500,500.0
44750,500.0
45000,500.0
45250,500.0
45500,16.833333333333332
45750,183.93333333333334
46000,193.53333333333333
46250,172.06666666666666
46500,500.0
